,AscensionNum,AlignmentScore,Location
278,20132003304,7809.0,England
279,20132020204,7807.0,England
280,20132027204,7714.0,England
281,20132066204,6484.0,England
282,20132082004,8103.0,England
283,20132104404,8086.0,England
284,20126001204,7836.0,England
285,20126010004,7672.0,England
286,20126103604,7828.0,England
287,20128014404,8105.0,England
288,20128041604,7834.0,England
289,20129011104,7444.0,England
290,20129021604,7751.0,England
291,20129037304,7947.0,England
292,20129064904,7403.0,England
293,20129100204,7288.0,England
294,20129146302,7409.0,England
295,20129171404,8102.0,England
296,20129177604,7566.0,England
297,WA-UW-1645,8104.0,USA
298,WA-UW-1670,8101.0,USA
299,WA-UW-1741,8104.0,USA
300,WA-UW-1799,8105.0,USA
301,WA-UW-1846,8103.0,USA
302,WA-UW-1956,8105.0,USA
303,WA-UW-1986,8103.0,USA
304,UN-3239,8104.0,India
305,366,8105.0,Iceland
306,391,8105.0,Iceland
307,416,8103.0,Iceland
308,441,8103.0,Iceland
309,467,8105.0,Iceland
310,493,8104.0,Iceland
311,519,8106.0,Iceland
312,570,8105.0,Iceland
313,595,8105.0,Iceland
314,ULG-10081,8104.0,Belgium
315,ULG-10063,7536.0,Belgium
316,FL_7169,8105.0,USA
317,OH_0023,8105.0,USA
318,SC_3572,8105.0,USA
319,NY-NYUMC131,8105.0,USA
320,NY-NYUMC156,8104.0,USA
321,OCC-KRA-ROB,8104.0,France
322,NW-HHU-40,8105.0,Germany
323,WI-UW-93,8104.0,USA
324,WI-UW-118,8104.0,USA
325,VC-FISABIO-76,8105.0,Spain
326,2556,8105.0,CzechRepublic
327,CAMB-738F1,8102.0,England
328,CAMB-73AFB,8104.0,England
329,CAMB-74544,8105.0,England
330,CAMB-7473F,7945.0,England
331,CAMB-74BCA,8105.0,England
332,CAMB-74E67,8104.0,England
333,CAMB-75552,8106.0,England
334,CAMB-76DFF,8104.0,England
335,CAMB-7705F,8105.0,England
336,NOTT-10DFD8,8105.0,England
337,NOTT-10E195,8104.0,England
338,NOTT-10E335,8106.0,England
339,NOTT-10E4D8,7803.0,England
340,NOTT-10E6C3,8104.0,England
341,NOTT-10EA6D,8102.0,England
342,CVR110,8105.0,Scotland
343,CVR138,7887.0,Scotland
344,CVR167,6844.0,Scotland
345,CVR200,8105.0,Scotland
346,CVR27,8105.0,Scotland
347,CVR526,7570.0,Scotland
348,CVR76,8103.0,Scotland
349,EDB025,8105.0,Scotland
350,EDB052,8103.0,Scotland
351,EDB090,8106.0,Scotland
352,EDB124,8105.0,Scotland
353,EDB186,8105.0,Scotland
354,EDB254,8104.0,Scotland
355,EDB362,7281.0,Scotland
356,EDB421,8106.0,Scotland
357,NY-Wadsworth-10704-01,8105.0,USA
358,CT-UW-4372,8105.0,USA
359,WA-UW-2078,8104.0,USA
360,WA-UW-2180,8104.0,USA
361,WA-UW-2250,8103.0,USA
362,07,8104.0,Latvia
363,NY-Wadsworth-30878-01,8105.0,USA
364,CMX-INCMNSZ-04,8103.0,Mexico
365,WA_0418,8103.0,USA
366,VA-DCLS-0053,8104.0,USA
367,AZ-TG268002,8007.0,USA
368,AZ-TG269439,8105.0,USA
369,AZ-TG271892,8105.0,USA
370,NY-NYUMC162,8105.0,USA
371,VIC333,8105.0,Australia
372,VIC359,8102.0,Australia
373,VIC385,8105.0,Australia
374,VIC417,8105.0,Australia
375,VIC446,7637.0,Australia
376,VIC494,8105.0,Australia
377,VIC525,8105.0,Australia
378,VIC556,8104.0,Australia
379,VIC585,8105.0,Australia
380,VIC613,7940.0,Australia
381,IAB_18,8105.0,CzechRepublic
382,VIC487,8105.0,Australia
383,VIC647,8105.0,Australia
384,VIC672,8105.0,Australia
385,VIC706,8105.0,Australia
386,VIC739,8105.0,Australia
387,13,0.0,Greece
388,VIC793,8103.0,Australia
389,VIC821,8105.0,Australia
390,VIC860,8105.0,Australia
391,VIC891,7391.0,Australia
392,ID-UW-4100,8075.0,USA
393,WA-UW-3850,8103.0,USA
394,WA-UW-3950,8103.0,USA
395,WA-UW-4340,8105.0,USA
396,BA-510,8105.0,Brazil
397,StPetersburg-RII4591S,8105.0,Russia
398,ULG-10035,7808.0,Belgium
399,ULG-10120,8106.0,Belgium
400,TSGH-06,8105.0,Taiwan
401,IL-UW-123,8103.0,USA
402,WI-UW-148,8105.0,USA
403,NY-NYUMC191,8105.0,USA
404,NY-NYUMC216,8104.0,USA
405,NY-WCMP4G04P,8105.0,USA
406,NY-WCMP10C04P,8103.0,USA
407,NY-WCMP11C03P,8103.0,USA
408,NY-WCMP12G01P,8104.0,USA
409,NY-NYUMC234,8104.0,USA
410,NSW177,8105.0,Australia
411,NSW136,8105.0,Australia
412,NSW101,8105.0,Australia
413,NSW134,8104.0,Australia
414,NSW195,8105.0,Australia
415,NSW204,8104.0,Australia
416,NE-875,7810.0,USA
417,WI-UW-166,8105.0,USA
418,WI-UW-191,8106.0,USA
419,WI-UW-216,8106.0,USA
420,WI-UW-241,8106.0,USA
421,IDF-3709,8009.0,France
422,CT-Yale-075,7019.0,USA
423,20SF118,8105.0,Guangdong
424,20SF758,8106.0,Guangdong
425,MD-H12-LP19-4952,8105.0,Spain
426,MD-H12-2902,8101.0,Spain
427,WI-UW-252,8104.0,USA
428,NY-NYUMC252,8105.0,USA
429,NY-NYUMC277,8105.0,USA
430,53,8104.0,Singapore
431,GC19-029,8105.0,Gambia
432,Moscow-77627,8104.0,Russia
433,Chechenya-83801,8104.0,Russia
434,WI-UW-260,8105.0,USA
435,CA-CZB0104,8105.0,USA
436,CA-CZB0100,8104.0,USA
437,CA-CZB0701,8102.0,USA
438,CA-CZB0112,7851.0,USA
439,GZMU0041,8106.0,Guangzhou
440,20-08173,8104.0,Sweden
441,20-50176,8104.0,Sweden
442,Bangkok-0041,8104.0,Thailand
443,GE-HUG-6414,8104.0,Switzerland
444,ALAB-HH01,8105.0,Denmark
445,ALAB-HH29,8105.0,Denmark
446,ALAB-HH66,8105.0,Denmark
447,ALAB-SSI106,8105.0,Denmark
448,ALAB-SSI145,8105.0,Denmark
449,ALAB-SSI183,8105.0,Denmark
450,ALAB-SSI234,8105.0,Denmark
451,ALAB-SSI277,8104.0,Denmark
452,ALAB-SSI349,8104.0,Denmark
453,ALAB-SSI393,8105.0,Denmark
454,ALAB-SSI416,8105.0,Denmark
455,ALAB-SSI451,8104.0,Denmark
456,ALAB-SSI484,8105.0,Denmark
457,ALAB-SSI523,8105.0,Denmark
458,WA-UW-4744,7991.0,USA
459,WA-UW-5065,8103.0,USA
460,MG-CV12,7871.0,Brazil
461,MG-CV46,4900.0,Brazil
462,LNS0756265,8056.0,Luxembourg
463,LNS9598665,8105.0,Luxembourg
464,LNS7299024,7942.0,Luxembourg
465,LNS5372169,7950.0,Luxembourg
466,LS559,6987.0,Lishui
467,HDF-1463,8105.0,France
468,SR-033,8105.0,Jordan
469,UT-066,7822.0,USA
470,UT-0446,7835.0,USA
471,StPetersburg-RII4780S,8105.0,Russia
472,StPetersburg-RII5635S,8105.0,Russia
473,WA-S265,8103.0,USA
474,WA-S290,7820.0,USA
475,WA-S135,8103.0,USA
476,WA-S160,8102.0,USA
477,WA-S188,8105.0,USA
478,WA-S213,7906.0,USA
479,WA-S238,8102.0,USA
480,NY-NYUMC295,7882.0,USA
481,NY-NYUMC320,8105.0,USA
482,NY-NYUMC345,8105.0,USA
483,NY-NYUMC370,8105.0,USA
484,NY-NYUMC395,8105.0,USA
485,127_HPI,8105.0,Greece
486,NT36,8097.0,Australia
487,VIC1222,8105.0,Australia
488,VIC988,7928.0,Australia
489,VIC1110,8105.0,Australia
490,VIC1120,7658.0,Australia
491,VIC1144,8105.0,Australia
492,VIC947,7205.0,Australia
493,VIC1056,8105.0,Australia
494,VIC1303,8105.0,Australia
495,MD-H12-LP29,8105.0,Spain
496,Beijing,7853.0,env
497,PAIS-A0022,8104.0,Argentina
498,20-08171,8104.0,Sweden
499,UN-UW-531,8102.0,USA
500,WA-UW-5400,8103.0,USA
501,WA-UW-5932,8104.0,USA
502,WA-UW-6213,8102.0,USA
503,1319,7837.0,DRC
504,CT-Yale-134,7569.0,USA
505,PHWC-285E5,8099.0,Wales
506,PHWC-27188,7940.0,Wales
507,PHWC-28837,8038.0,Wales
508,PHWC-27FCA,8092.0,Wales
509,PHWC-27777,7954.0,Wales
510,PHWC-272A3,7962.0,Wales
511,PHWC-2B069,7716.0,Wales
512,PHWC-2806C,7492.0,Wales
513,PHWC-287D0,7447.0,Wales
514,PHWC-29344,6981.0,Wales
515,PHWC-287A3,7051.0,Wales
516,PHWC-25366,8105.0,Wales
517,PHWC-278A1,8104.0,Wales
518,PHWC-275D7,8104.0,Wales
519,PHWC-2757D,8103.0,Wales
520,PHWC-2B05A,8104.0,Wales
521,PHWC-24E39,8105.0,Wales
522,PHWC-29CB2,8013.0,Wales
523,PHWC-2B263,8105.0,Wales
524,PHWC-29C67,8103.0,Wales
525,PHWC-27CE1,7839.0,Wales
526,PHWC-2B2DC,7961.0,Wales
527,SHEF-C8C2E,8105.0,England
528,SHEF-CA169,8106.0,England
529,SHEF-CB414,7864.0,England
530,SHEF-CCC93,8104.0,England
531,SHEF-CDED8,7863.0,England
532,SHEF-D0054,8105.0,England
533,SHEF-D169D,7866.0,England
534,SHEF-D2A54,7866.0,England
535,NOTT-10FAD5,7808.0,England
536,NOTT-10FCB1,7807.0,England
537,SHEF-C1B37,8104.0,England
538,SHEF-C2F76,8103.0,England
539,SHEF-C3DF3,8105.0,England
540,SHEF-C5ABE,7866.0,England
541,SHEF-C7014,7865.0,England
542,SHEF-C815C,8105.0,England
543,EDB924,8105.0,Scotland
544,NOTT-10EC67,7809.0,England
545,NOTT-10EE61,7810.0,England
546,NOTT-10F03D,7811.0,England
547,NOTT-10F273,7808.0,England
548,NOTT-10F47D,7807.0,England
549,NOTT-10F677,7809.0,England
550,NOTT-10F8F9,7808.0,England
551,EDB1566,8105.0,Scotland
552,EDB1656,8103.0,Scotland
553,EDB1740,8103.0,Scotland
554,EDB1927,8102.0,Scotland
555,EDB2084,8104.0,Scotland
556,EDB590,8106.0,Scotland
557,EDB734,8105.0,Scotland
558,EDB863,7951.0,Scotland
559,CVR309,8106.0,Scotland
560,CVR512,8103.0,Scotland
561,CVR749,8104.0,Scotland
562,CVR902,8106.0,Scotland
563,EDB1073,8105.0,Scotland
564,EDB1148,8104.0,Scotland
565,EDB129,8105.0,Scotland
566,EDB1463,8103.0,Scotland
567,CAMB-7FB74,8104.0,England
568,CVR1085,7852.0,Scotland
569,CVR1296,7832.0,Scotland
570,CVR1370,7715.0,Scotland
571,CVR1431,7831.0,Scotland
572,CVR1521,8105.0,Scotland
573,CVR1629,8033.0,Scotland
574,CVR1751,8105.0,Scotland
575,CAMB-73CAA,8105.0,England
576,CAMB-78276,7649.0,England
577,CAMB-7864D,8103.0,England
578,CAMB-78883,8105.0,England
579,CAMB-78A32,8105.0,England
580,CAMB-7AA8B,8105.0,England
581,CAMB-7AC67,8103.0,England
582,CAMB-7AE43,8105.0,England
583,CAMB-7B05B,7807.0,England
584,CAMB-7B237,8104.0,England
585,CAMB-7B440,8105.0,England
586,CAMB-7C04B,8103.0,England
587,CAMB-7C1DF,7808.0,England
588,CAMB-7C37F,7809.0,England
589,CAMB-7E270,7836.0,England
590,WA-S324,8101.0,USA
591,WA-S349,8103.0,USA
592,WA-S377,8103.0,USA
593,WA-S402,8103.0,USA
594,WA-S427,8103.0,USA
595,WA-S454,8102.0,USA
596,WA-S479,8103.0,USA
597,WA-S505,8102.0,USA
598,WA-S533,8103.0,USA
599,WA-S563,8096.0,USA
600,UGent-32,7809.0,Belgium
601,ITM_C159,8105.0,Belgium
602,51,8105.0,Greece
603,LNS1368952,8104.0,Luxembourg
604,LA-ALSR-0059-NBG,8105.0,USA
605,CDC-S4,7127.0,PuertoRico
606,HKU-908b,8106.0,HongKong
607,WI-UW-263,8104.0,USA
608,OCC-19,8103.0,France
609,20-06908,8105.0,Sweden
610,MD-HP00023,8105.0,USA
611,NIH-4385,8105.0,Myanmar
612,TX-HMH025,7809.0,USA
613,TX-HMH050,8105.0,USA
614,TX-HMH075,8105.0,USA
615,TX-HMH0104,7810.0,USA
616,TX-HMH0134,8104.0,USA
617,TX-HMH0160,8104.0,USA
618,TX-HMH0209,8105.0,USA
619,TX-HMH0281,8105.0,USA
620,TX-HMH0322,8105.0,USA
621,TX-HMH0367,8103.0,USA
622,TX-HMH0397,8103.0,USA
623,TX-HMH0426,8105.0,USA
624,LA-EVTL01,8105.0,USA
625,TN-NCDC-02309,8065.0,India
626,DL-NCDC-01638,8101.0,India
627,L4682,8106.0,UnitedArabEmirates
628,1982,7639.0,DRC
629,VNHN_0764,8103.0,Vietnam
630,UT-0529,7835.0,USA
631,UT-0888,7835.0,USA
632,SRC-00827,8105.0,Hungary
633,LA-SR0144,8104.0,USA
634,CA-SR0175,8104.0,USA
635,NY-NYUMC431,8104.0,USA
636,NY-NYUMC457,8104.0,USA
637,NY-NYUMC483,8105.0,USA
638,LA-EVTL035,8104.0,USA
639,CA-SCCPHD-UC119,7882.0,USA
640,CA-SCCPHD-UC169,7877.0,USA
641,CA-SCCPHD-UC194,6885.0,USA
642,93,0.0,Singapore
643,DC-CDC-9096,8105.0,USA
644,NY-SURV0407,8104.0,USA
645,TSGH-19,8104.0,Taiwan
646,VIC1273,8105.0,Australia
647,VC-FISABIO-115,8106.0,Spain
648,VC-FISABIO-140,8104.0,Spain
649,VC-FISABIO-165,7965.0,Spain
650,VC-FISABIO-190,8103.0,Spain
651,VC-FISABIO-215,8102.0,Spain
652,VC-FISABIO-240,8104.0,Spain
653,VC-FISABIO-265,7964.0,Spain
654,VC-FISABIO-290,7902.0,Spain
655,VC-FISABIO-315,8104.0,Spain
656,DL-NCDC-3394,8098.0,India
657,MP-NCDC-4876,8099.0,India
658,PA-MGSC38-05,8104.0,USA
659,FL-BPHL-07,7290.0,USA
660,FL-BPHL-032,6725.0,USA
661,WI-UW-292,8104.0,USA
662,WI-UW-317,7552.0,USA
663,WI-UW-342,8106.0,USA
664,CA-CZB-1020,8106.0,USA
665,KRISP-045,8104.0,SouthAfrica
666,NY-NYUMC488,7542.0,USA
667,MI-MDHHS-SC20143,7719.0,USA
668,MI-MDHHS-SC20152,8105.0,USA
669,MI-MDHHS-SC20135,8105.0,USA
670,WI-GMF-01978,8105.0,USA
671,UT-01437,7824.0,USA
672,LA-BIE-074,8101.0,USA
673,ALAB-SSI-547,8105.0,Denmark
674,ALAB-SSI-610,8092.0,Denmark
675,ALAB-SSI-645,8105.0,Denmark
676,ALAB-SSI-692,8103.0,Denmark
677,CA-CZB-1067,8018.0,USA
678,013,8104.0,Latvia
679,MI-MDHHS-SC20030,8049.0,USA
680,MI-MDHHS-SC20055,7832.0,USA
681,MI-MDHHS-SC20080,7569.0,USA
682,JK-EIJK-04,8104.0,Indonesia
683,BY-MVP-0016,8104.0,Germany
684,BY-MVP-0043,8000.0,Germany
685,BY-MVP-0071,8104.0,Germany
686,BY-MVP-0101,8105.0,Germany
687,HSGM-1027,8105.0,Turkey
688,2644,7937.0,DRC
689,MN-MDH-387,8105.0,USA
690,VA-DCLS-0176,8104.0,USA
691,VA-DCLS-0202,8105.0,USA
692,GJ-GBRC14,8063.0,India
693,KAUST-Madinah54,8104.0,SaudiArabia
694,OR-OHSU-0052,8104.0,USA
695,CA-SR0255,8104.0,USA
696,CA-SR0204,8105.0,USA
697,SI205457-NST,8104.0,Thailand
698,ALAB-SSI-1086,8103.0,Denmark
699,ALAB-SSI-242,8105.0,Denmark
700,KAUST-Makkah190,8104.0,SaudiArabia
701,KAUST-Makkah237,8104.0,SaudiArabia
702,KAUST-Jeddah70,8105.0,SaudiArabia
703,VA-DCLS-0144,8104.0,USA
704,WA-UW-4021,8104.0,USA
705,ID-UW-6455,8099.0,USA
706,WA-UW-6527,8102.0,USA
707,213_34051,8106.0,Greece
708,261_32221,8026.0,Greece
709,CeMM0045,8105.0,Austria
710,CeMM0096,8099.0,Austria
711,CeMM0126,8094.0,Austria
712,CeMM0161,8105.0,Austria
713,CeMM0191,8105.0,Austria
714,CeMM0223,8103.0,Austria
715,CeMM0252,8105.0,Austria
716,CeMM0280,8104.0,Austria
717,WA-S588,8101.0,USA
718,WA-S613,8105.0,USA
719,WA-S638,8105.0,USA
720,WA-S663,8103.0,USA
721,MD-HP00087,8104.0,USA
722,CAMB-76278,7809.0,England
723,CAMB-75929,7809.0,England
724,CAMB-7618A,7809.0,England
725,CAMB-75ACC,7570.0,England
726,CAMB-7622D,7810.0,England
727,CAMB-71DA9,7823.0,England
728,CAMB-75D0F,7810.0,England
729,CAMB-7624B,8104.0,England
730,CAMB-766C7,7809.0,England
731,CAMB-75DF0,7821.0,England
732,CAMB-76BF5,7810.0,England
733,CAMB-77259,7985.0,England
734,CAMB-81122,7808.0,England
735,CAMB-81F28,8105.0,England
736,CAMB-82103,8103.0,England
737,CAMB-829FC,8103.0,England
738,CAMB-82C11,8102.0,England
739,CAMB-83DE0,8104.0,England
740,CAMB-83FDB,8104.0,England
741,CAMB-8465D,8098.0,England
742,CVR1179,7570.0,Scotland
743,CVR1367,7200.0,Scotland
744,CVR1473,6700.0,Scotland
745,CVR1692,8104.0,Scotland
746,CVR2012,8104.0,Scotland
747,CVR2378,8102.0,Scotland
748,CVR2512,8104.0,Scotland
749,CVR2747,8105.0,Scotland
750,CVR2749,8102.0,Scotland
751,CVR2921,8104.0,Scotland
752,CVR305,7831.0,Scotland
753,CVR318,8104.0,Scotland
754,CVR398,7964.0,Scotland
755,CVR739,8105.0,Scotland
756,CVR866,8103.0,Scotland
757,EDB137,8104.0,Scotland
758,EDB2234,8103.0,Scotland
759,EDB2389,8104.0,Scotland
760,EDB2518,8104.0,Scotland
761,EDB2638,8104.0,Scotland
762,EDB3500,8104.0,Scotland
763,EDB3603,8103.0,Scotland
764,EDB3783,8104.0,Scotland
765,EDB3870,8104.0,Scotland
766,CAMB-77B12,7810.0,England
767,CAMB-76C10,7053.0,England
768,CAMB-77602,7809.0,England
769,CAMB-76041,7809.0,England
